Left_Node_ID,Right_Node_ID
88282361,88279728
88282362,88279729
88282363,88279730
88282364,88279731
88282365,88279732
88282366,88279733
88282367,88279734
88282368,88279735
88282369,88279736
88282370,88279737
88282371,88279738
88282372,88279739
88282373,88279740
88282374,88279741
88282375,88279742
88282376,88279743
88282377,88279744
88282378,88279745
88282379,88279746
88282380,88279747
88282381,88279748
88282382,88279749
88282383,88279750
88282384,88279751
88282385,88279752
88282386,88279753
88282387,88279754
88282388,88279755
88282389,88279756
88282390,88279757
88282391,88279758
88282392,88279759
88282393,88279760
88282394,88279761
88282395,88279762
88282396,88279763
88282397,88279764
88282398,88279765
88282399,88279766
88282400,88279767
88282401,88279768
88282402,88279769
88282403,88279770
88282404,88279773
88282405,88279774
88282406,88279775
88282407,88279776
88282408,88279777
88282409,88279778
88282410,88279779
88282411,88279780
88282412,88279781
88282413,88279782
88282414,88279783
88282415,88279784
88282416,88279785
88282417,88279786
88282418,88279787
88282419,88279788
88282420,88279789
88282421,88279790
88282422,88279791
88282423,88279792
88282424,88279793
88282425,88279794
88282426,88279795
88282427,88279796
88282428,88279797
88282429,88279798
88282430,88279799
88282431,88279800
88282432,88279801
88282433,88279802
88282434,88279803
88282435,88279804
88282436,88279805
88282437,88279806
88282438,88279807
88282439,88279808
88282440,88279809
88282441,88279810
88282442,88279811
88282443,88279814
88282444,88279815
88282445,88279816
88282446,88279817
88282447,88279818
88282448,88279819
88282449,88279820
88282450,88279821
88282451,88279822
88282452,88279823
88282453,88279824
88282454,88279825
88282455,88279826
88282456,88279827
88282457,88279828
88282458,88279829
88282459,88279830
88282460,88279831
88282461,88279832
88282462,88279833
88282463,88279834
88282464,88279835
88282465,88279836
88282466,88279837
88282467,88279838
88282468,88279839
88282469,88279840
88282470,88279841
88282471,88279842
88282472,88279843
88282473,88279844
88282474,88279845
88282475,88279846
88282476,88279847
88282477,88279848
88282478,88279849
88282479,88279850
88282480,88279851
88282481,88279852
88282482,88279853
88282483,88279854
88282484,88279855
88282485,88279856
88282486,88279857
88282487,88279858
88282488,88279859
88282489,88279861
88282490,88279862
88282491,88279863
88282492,88279864
88282493,88279865
88282494,88279866
88282495,88279867
88282496,88279868
88282497,88279869
88282498,88279870
88282499,88279871
88282500,88279872
88282501,88279873
88282502,88279874
88282503,88279875
88282504,88279876
88282505,88279877
88282506,88279878
88282507,88279879
88282508,88279880
88282509,88279881
88282510,88279882
88282511,88279883
88282512,88279884
88282513,88279885
88282514,88279886
88282515,88279887
88282516,88279888
88282517,88279889
88282518,88279890
88282519,88279891
88282520,88279892
88282521,88279893
88282522,88279894
88282523,88279895
88282524,88279896
88282525,88279897
88282526,88279898
88282527,88279899
88282528,88279900
88282529,88279901
88282530,88279902
88282531,88279903
88282532,88279904
88282533,88279905
88282534,88279906
88282535,88279907
88282536,88279908
88282537,88279915
88282538,88279916
88282539,88279919
88282540,88279920
88282541,88279921
88282542,88279922
88282543,88279923
88282544,88279924
88282545,88279925
88282546,88279926
88282547,88279927
88282548,88279928
88282549,88279929
88282550,88279930
88282551,88279931
88282552,88279932
88282553,88279933
88282554,88279934
88282555,88279935
88282556,88279936
88282557,88279937
88282558,88279938
88282559,88279939
88282560,88279940
88282561,88279941
88282562,88279942
88282563,88279943
88282564,88279944
88282565,88279945
88282566,88279946
88282567,88279947
88282568,88279948
88282569,88279949
88282570,88279950
88282571,88279951
88282572,88279952
88282573,88279953
88282574,88279954
88282575,88279955
88282576,88279956
88282577,88279957
88282578,88279958
88282579,88279959
88282580,88279960
88282581,88279961
88282582,88279962
88282583,88279963
88282584,88279964
88282585,88279965
88282586,88279966
88282587,88279967
88282588,88279968
88282589,88279969
88282590,88279970
88282591,88279971
88282592,88279972
88282593,88279973
88282594,88279974
88282595,88279975
88282596,88279976
88282597,88279977
88282598,88279978
88282599,88279979
88282600,88279980
88282601,88279981
88282602,88279982
88282603,88279983
88282604,88279984
88282605,88279985
88282606,88279986
88282607,88279987
88282608,88279988
88282609,88279989
88282610,88279990
88282611,88279991
88282612,88279993
88282613,88279994
88282614,88279996
88282615,88279997
88282616,88280000
88282617,88280001
88282618,88280002
88282619,88280003
88282620,88280004
88282621,88280005
88282622,88280006
88282623,88280007
88281014,88277845
88282624,88280008
88281015,88278385
88282625,88280009
88281016,88278450
88282626,88280010
88281017,88278453
88281018,88278499
88282627,88280011
88281019,88278500
88282628,88280012
88281020,88278540
88282629,88280013
88282630,88280014
88281021,88278594
88282631,88280015
88281022,88278732
88282632,88280018
88281023,88278733
88282633,88280019
88281024,88278772
88282634,88280020
88281025,88278809
88282635,88280021
88281026,88278919
88282636,88280022
88281027,88279169
88282637,88280023
88281028,88279259
88281029,88279345
88282638,88280024
88281030,88279426
88282639,88280025
88281031,88279427
88282640,88280026
88282641,88280027
88281032,88279428
88282642,88280028
88281033,88279510
88282643,88280029
88281034,88279511
88282644,88280030
88281035,88279512
88282645,88280031
88281036,88279615
88282646,88280032
88281037,88279617
88282647,88280033
88281038,88279674
88282648,88280034
88281039,88279909
88281040,88279910
88282649,88280035
88281041,88279911
88282650,88280036
88281042,88279912
88282651,88280037
88282652,88280038
88281043,88279913
88282653,88280039
88281044,88279914
88282654,88280040
88281045,88279992
88282655,88280041
88281046,88279995
88282656,88280042
88281047,88280264
88282657,88280043
88281048,88280265
88282658,88280044
88281049,88280391
88282659,88280045
88281050,88280454
88281051,88280455
88282660,88280046
88281052,88280456
88282661,88280047
88281053,88280457
88282662,88280048
88282663,88280049
88281054,88280458
88282664,88280050
88281055,88280459
88282665,88280051
88281056,88280460
88282666,88280052
88281057,88280461
88282667,88280053
88281058,88280462
88282668,88280054
88281059,88280463
88282669,88280055
88281060,88280464
88282670,88280056
88281061,88280771
88281062,88280781
88282671,88280057
88281063,88280841
88282672,88280058
88281064,88280995
88282673,88280059
88282674,88280060
88281065,88280996
88282675,88280061
88281066,88280997
88282676,88280062
88281067,88280998
88282677,88280063
88281068,88280999
88282678,88280064
88281069,88281000
88282679,88280065
88281070,88281001
88282680,88280066
88281071,88281002
88282681,88280067
88281072,88281003
88281073,88281004
88282682,88280068
88281074,88281005
88282683,88280069
88281075,88281006
88282684,88280070
88282685,88280071
88281076,88281007
88282686,88280072
88281077,88281008
88282687,88280073
88281078,88281009
88282688,88280074
88281079,88281011
88282689,88280075
88281080,88281012
88282690,88280076
88281081,88278361
88282691,88280077
88281082,88278363
88282692,88280078
88281083,88278365
88281084,88278366
88282693,88280079
88281085,88278368
88282694,88280080
88281086,88278369
88282695,88280081
88282696,88280082
88281087,88278370
88282697,88280083
88281088,88278371
88282698,88280084
88281089,88278372
88282699,88280085
88281090,88278373
88282700,88280086
88281091,88278375
88282701,88280087
88281092,88278376
88282702,88280088
88281093,88278377
88282703,88280089
88281094,88278378
88281095,88278381
88282704,88280090
88281096,88278382
88282705,88280091
88281097,88278383
88282706,88280092
88282707,88280093
88281098,88278384
